"ticker","date","amount"
"FTS.TO","1996-11-13",0.1075
"FTS.TO","1997-02-12",0.1100
"FTS.TO","1997-05-07",0.1100
"FTS.TO","1997-08-06",0.1100
"FTS.TO","1997-11-05",0.1100
"FTS.TO","1998-02-04",0.1125
"FTS.TO","1998-05-06",0.1125
"FTS.TO","1998-08-05",0.1125
"FTS.TO","1998-11-04",0.1125
"FTS.TO","1999-02-03",0.1125
"FTS.TO","1999-05-05",0.1125
"FTS.TO","1999-08-04",0.1125
"FTS.TO","1999-11-03",0.1150
"FTS.TO","2000-02-02",0.1150
"FTS.TO","2000-05-02",0.1150
"FTS.TO","2000-08-02",0.1150
"FTS.TO","2000-11-01",0.1150
"FTS.TO","2001-01-31",0.1150
"FTS.TO","2001-05-02",0.1175
"FTS.TO","2001-08-08",0.1175
"FTS.TO","2001-11-07",0.1175
"FTS.TO","2002-02-06",0.1175
"FTS.TO","2002-05-01",0.1225
"FTS.TO","2002-08-07",0.1225
"FTS.TO","2002-11-06",0.1225
"FTS.TO","2003-02-05",0.1300
"FTS.TO","2003-05-07",0.1300
"FTS.TO","2003-08-06",0.1300
"FTS.TO","2003-11-05",0.1300
"FTS.TO","2004-02-04",0.1350
"FTS.TO","2004-05-05",0.1350
"FTS.TO","2004-08-04",0.1350
"FTS.TO","2004-11-03",0.1350
"FTS.TO","2005-05-04",0.1425
"FTS.TO","2005-08-03",0.1425
"FTS.TO","2005-11-02",0.1600
"FTS.TO","2006-02-01",0.1600
"FTS.TO","2006-08-02",0.1600
"FTS.TO","2006-11-01",0.1900
"FTS.TO","2007-01-31",0.1900
"FTS.TO","2007-05-02",0.2100
"FTS.TO","2007-08-08",0.2100
"FTS.TO","2007-11-07",0.2100
"FTS.TO","2008-02-06",0.2500
"FTS.TO","2008-05-07",0.2500
"FTS.TO","2008-08-06",0.2500
"FTS.TO","2008-11-05",0.2500
"FTS.TO","2009-02-04",0.2600
"FTS.TO","2009-05-06",0.2600
"FTS.TO","2009-08-05",0.2600
"FTS.TO","2009-11-04",0.2600
"FTS.TO","2010-02-03",0.2800
"FTS.TO","2010-05-05",0.2800
"FTS.TO","2010-08-04",0.2800
"FTS.TO","2010-11-09",0.2800
"FTS.TO","2011-02-09",0.2900
"FTS.TO","2011-05-11",0.2900
"FTS.TO","2011-08-10",0.2900
